Simulation started at 0 with time steps from 0 to 10.
Initial probability density range: vmin=4.810183784379681e-86, vmax=0.6355882989985056.
Step 1, Time = 0.00, ProbDensSum = 1.0000, Center = (1.9864, 2.0120)
Step 2, Time = 0.00, ProbDensSum = 1.0000, Center = (1.9727, 2.0240)
Step 3, Time = 0.00, ProbDensSum = 1.0000, Center = (1.9590, 2.0358)
Step 4, Time = 0.00, ProbDensSum = 1.0000, Center = (1.9451, 2.0476)
Step 5, Time = 0.01, ProbDensSum = 1.0000, Center = (1.9312, 2.0592)
Step 6, Time = 0.01, ProbDensSum = 1.0000, Center = (1.9172, 2.0708)
Step 7, Time = 0.01, ProbDensSum = 1.0000, Center = (1.9032, 2.0823)
Step 8, Time = 0.01, ProbDensSum = 1.0000, Center = (1.8891, 2.0937)
Step 9, Time = 0.01, ProbDensSum = 1.0000, Center = (1.8749, 2.1050)
Step 10, Time = 0.01, ProbDensSum = 1.0000, Center = (1.8606, 2.1162)
Snapshot saved for time step 10.
Step 11, Time = 0.01, ProbDensSum = 1.0000, Center = (1.8463, 2.1273)
Step 12, Time = 0.01, ProbDensSum = 1.0000, Center = (1.8319, 2.1383)
Step 13, Time = 0.01, ProbDensSum = 1.0000, Center = (1.8175, 2.1492)
Step 14, Time = 0.01, ProbDensSum = 1.0000, Center = (1.8029, 2.1601)
Step 15, Time = 0.02, ProbDensSum = 1.0000, Center = (1.7883, 2.1708)
Step 16, Time = 0.02, ProbDensSum = 1.0000, Center = (1.7737, 2.1815)
Step 17, Time = 0.02, ProbDensSum = 1.0000, Center = (1.7589, 2.1920)
Step 18, Time = 0.02, ProbDensSum = 1.0000, Center = (1.7441, 2.2025)
Step 19, Time = 0.02, ProbDensSum = 1.0000, Center = (1.7293, 2.2128)
Step 20, Time = 0.02, ProbDensSum = 1.0000, Center = (1.7144, 2.2231)
Snapshot saved for time step 20.
Step 21, Time = 0.02, ProbDensSum = 1.0000, Center = (1.6994, 2.2333)
Step 22, Time = 0.02, ProbDensSum = 1.0000, Center = (1.6843, 2.2433)
Step 23, Time = 0.02, ProbDensSum = 1.0000, Center = (1.6692, 2.2533)
Step 24, Time = 0.02, ProbDensSum = 1.0000, Center = (1.6541, 2.2632)
Step 25, Time = 0.03, ProbDensSum = 1.0000, Center = (1.6388, 2.2730)
Step 26, Time = 0.03, ProbDensSum = 1.0000, Center = (1.6236, 2.2826)
Step 27, Time = 0.03, ProbDensSum = 1.0000, Center = (1.6082, 2.2922)
Step 28, Time = 0.03, ProbDensSum = 1.0000, Center = (1.5928, 2.3017)
Step 29, Time = 0.03, ProbDensSum = 1.0000, Center = (1.5774, 2.3111)
Step 30, Time = 0.03, ProbDensSum = 1.0000, Center = (1.5618, 2.3204)
Snapshot saved for time step 30.
Step 31, Time = 0.03, ProbDensSum = 1.0000, Center = (1.5463, 2.3296)
Step 32, Time = 0.03, ProbDensSum = 1.0000, Center = (1.5306, 2.3386)
Step 33, Time = 0.03, ProbDensSum = 1.0000, Center = (1.5150, 2.3476)
Step 34, Time = 0.03, ProbDensSum = 1.0000, Center = (1.4992, 2.3565)
Step 35, Time = 0.04, ProbDensSum = 1.0000, Center = (1.4834, 2.3653)
Step 36, Time = 0.04, ProbDensSum = 1.0000, Center = (1.4676, 2.3740)
Step 37, Time = 0.04, ProbDensSum = 1.0000, Center = (1.4517, 2.3825)
Step 38, Time = 0.04, ProbDensSum = 1.0000, Center = (1.4358, 2.3910)
Step 39, Time = 0.04, ProbDensSum = 1.0000, Center = (1.4198, 2.3994)
Step 40, Time = 0.04, ProbDensSum = 1.0000, Center = (1.4037, 2.4077)
Snapshot saved for time step 40.
Step 41, Time = 0.04, ProbDensSum = 1.0000, Center = (1.3876, 2.4158)
Step 42, Time = 0.04, ProbDensSum = 1.0000, Center = (1.3715, 2.4239)
Step 43, Time = 0.04, ProbDensSum = 1.0000, Center = (1.3553, 2.4318)
Step 44, Time = 0.04, ProbDensSum = 1.0000, Center = (1.3391, 2.4397)
Step 45, Time = 0.05, ProbDensSum = 1.0000, Center = (1.3228, 2.4474)
Step 46, Time = 0.05, ProbDensSum = 1.0000, Center = (1.3065, 2.4551)
Step 47, Time = 0.05, ProbDensSum = 1.0000, Center = (1.2901, 2.4626)
Step 48, Time = 0.05, ProbDensSum = 1.0000, Center = (1.2737, 2.4701)
Step 49, Time = 0.05, ProbDensSum = 1.0000, Center = (1.2572, 2.4774)
Step 50, Time = 0.05, ProbDensSum = 1.0000, Center = (1.2407, 2.4846)
Snapshot saved for time step 50.
Step 51, Time = 0.05, ProbDensSum = 1.0000, Center = (1.2242, 2.4918)
Step 52, Time = 0.05, ProbDensSum = 1.0000, Center = (1.2076, 2.4988)
Step 53, Time = 0.05, ProbDensSum = 1.0000, Center = (1.1910, 2.5057)
Step 54, Time = 0.05, ProbDensSum = 1.0000, Center = (1.1743, 2.5125)
Step 55, Time = 0.06, ProbDensSum = 1.0000, Center = (1.1576, 2.5192)
Step 56, Time = 0.06, ProbDensSum = 1.0000, Center = (1.1409, 2.5258)
Step 57, Time = 0.06, ProbDensSum = 1.0000, Center = (1.1241, 2.5323)
Step 58, Time = 0.06, ProbDensSum = 1.0000, Center = (1.1073, 2.5386)
Step 59, Time = 0.06, ProbDensSum = 1.0000, Center = (1.0905, 2.5449)
Step 60, Time = 0.06, ProbDensSum = 1.0000, Center = (1.0736, 2.5511)
Snapshot saved for time step 60.
Step 61, Time = 0.06, ProbDensSum = 1.0000, Center = (1.0567, 2.5571)
Step 62, Time = 0.06, ProbDensSum = 1.0000, Center = (1.0397, 2.5631)
Step 63, Time = 0.06, ProbDensSum = 1.0000, Center = (1.0228, 2.5689)
Step 64, Time = 0.06, ProbDensSum = 1.0000, Center = (1.0057, 2.5746)
Step 65, Time = 0.07, ProbDensSum = 1.0000, Center = (0.9887, 2.5803)
Step 66, Time = 0.07, ProbDensSum = 1.0000, Center = (0.9716, 2.5858)
Step 67, Time = 0.07, ProbDensSum = 1.0000, Center = (0.9545, 2.5912)
Step 68, Time = 0.07, ProbDensSum = 1.0000, Center = (0.9374, 2.5965)
Step 69, Time = 0.07, ProbDensSum = 1.0000, Center = (0.9202, 2.6017)
Step 70, Time = 0.07, ProbDensSum = 1.0000, Center = (0.9030, 2.6067)
Snapshot saved for time step 70.
Step 71, Time = 0.07, ProbDensSum = 1.0000, Center = (0.8858, 2.6117)
Step 72, Time = 0.07, ProbDensSum = 1.0000, Center = (0.8686, 2.6166)
Step 73, Time = 0.07, ProbDensSum = 1.0000, Center = (0.8513, 2.6213)
Step 74, Time = 0.07, ProbDensSum = 1.0000, Center = (0.8340, 2.6259)
Step 75, Time = 0.08, ProbDensSum = 1.0000, Center = (0.8167, 2.6305)
Step 76, Time = 0.08, ProbDensSum = 1.0000, Center = (0.7993, 2.6349)
Step 77, Time = 0.08, ProbDensSum = 1.0000, Center = (0.7820, 2.6392)
Step 78, Time = 0.08, ProbDensSum = 1.0000, Center = (0.7646, 2.6434)
Step 79, Time = 0.08, ProbDensSum = 1.0000, Center = (0.7472, 2.6475)
Step 80, Time = 0.08, ProbDensSum = 1.0000, Center = (0.7297, 2.6515)
Snapshot saved for time step 80.
Step 81, Time = 0.08, ProbDensSum = 1.0000, Center = (0.7123, 2.6553)
Step 82, Time = 0.08, ProbDensSum = 1.0000, Center = (0.6948, 2.6591)
Step 83, Time = 0.08, ProbDensSum = 1.0000, Center = (0.6774, 2.6627)
Step 84, Time = 0.08, ProbDensSum = 1.0000, Center = (0.6599, 2.6663)
Step 85, Time = 0.09, ProbDensSum = 1.0000, Center = (0.6423, 2.6697)
Step 86, Time = 0.09, ProbDensSum = 1.0000, Center = (0.6248, 2.6730)
Step 87, Time = 0.09, ProbDensSum = 1.0000, Center = (0.6073, 2.6762)
Step 88, Time = 0.09, ProbDensSum = 1.0000, Center = (0.5897, 2.6793)
Step 89, Time = 0.09, ProbDensSum = 1.0000, Center = (0.5721, 2.6823)
Step 90, Time = 0.09, ProbDensSum = 1.0000, Center = (0.5545, 2.6851)
Snapshot saved for time step 90.
Step 91, Time = 0.09, ProbDensSum = 1.0000, Center = (0.5369, 2.6879)
Step 92, Time = 0.09, ProbDensSum = 1.0000, Center = (0.5193, 2.6905)
Step 93, Time = 0.09, ProbDensSum = 1.0000, Center = (0.5017, 2.6931)
Step 94, Time = 0.09, ProbDensSum = 1.0000, Center = (0.4841, 2.6955)
Step 95, Time = 0.10, ProbDensSum = 1.0000, Center = (0.4664, 2.6978)
Step 96, Time = 0.10, ProbDensSum = 1.0000, Center = (0.4488, 2.7000)
Step 97, Time = 0.10, ProbDensSum = 1.0000, Center = (0.4311, 2.7021)
Step 98, Time = 0.10, ProbDensSum = 1.0000, Center = (0.4135, 2.7041)
Step 99, Time = 0.10, ProbDensSum = 1.0000, Center = (0.3958, 2.7059)
Step 100, Time = 0.10, ProbDensSum = 1.0000, Center = (0.3781, 2.7077)
Snapshot saved for time step 100.
Step 101, Time = 0.10, ProbDensSum = 1.0000, Center = (0.3605, 2.7093)
Step 102, Time = 0.10, ProbDensSum = 1.0000, Center = (0.3428, 2.7109)
Step 103, Time = 0.10, ProbDensSum = 1.0000, Center = (0.3251, 2.7123)
Step 104, Time = 0.10, ProbDensSum = 1.0000, Center = (0.3074, 2.7136)
Step 105, Time = 0.11, ProbDensSum = 1.0000, Center = (0.2897, 2.7148)
Step 106, Time = 0.11, ProbDensSum = 1.0000, Center = (0.2720, 2.7159)
Step 107, Time = 0.11, ProbDensSum = 1.0000, Center = (0.2543, 2.7169)
Step 108, Time = 0.11, ProbDensSum = 1.0000, Center = (0.2367, 2.7177)
Step 109, Time = 0.11, ProbDensSum = 1.0000, Center = (0.2190, 2.7185)
Step 110, Time = 0.11, ProbDensSum = 1.0000, Center = (0.2013, 2.7191)
Snapshot saved for time step 110.
Step 111, Time = 0.11, ProbDensSum = 1.0000, Center = (0.1836, 2.7196)
Step 112, Time = 0.11, ProbDensSum = 1.0000, Center = (0.1659, 2.7201)
Step 113, Time = 0.11, ProbDensSum = 1.0000, Center = (0.1483, 2.7204)
Step 114, Time = 0.11, ProbDensSum = 1.0000, Center = (0.1306, 2.7206)
Step 115, Time = 0.12, ProbDensSum = 1.0000, Center = (0.1129, 2.7207)
Step 116, Time = 0.12, ProbDensSum = 1.0000, Center = (0.0953, 2.7206)
Step 117, Time = 0.12, ProbDensSum = 1.0000, Center = (0.0776, 2.7205)
Step 118, Time = 0.12, ProbDensSum = 1.0000, Center = (0.0600, 2.7202)
Step 119, Time = 0.12, ProbDensSum = 1.0000, Center = (0.0424, 2.7199)
Step 120, Time = 0.12, ProbDensSum = 1.0000, Center = (0.0248, 2.7194)
Snapshot saved for time step 120.
Step 121, Time = 0.12, ProbDensSum = 1.0000, Center = (0.0072, 2.7188)
Step 122, Time = 0.12, ProbDensSum = 1.0000, Center = (-0.0104, 2.7181)
Step 123, Time = 0.12, ProbDensSum = 1.0000, Center = (-0.0280, 2.7173)
Step 124, Time = 0.12, ProbDensSum = 1.0000, Center = (-0.0456, 2.7164)
Step 125, Time = 0.13, ProbDensSum = 1.0000, Center = (-0.0632, 2.7154)
Step 126, Time = 0.13, ProbDensSum = 1.0000, Center = (-0.0807, 2.7143)
Step 127, Time = 0.13, ProbDensSum = 1.0000, Center = (-0.0982, 2.7130)
Step 128, Time = 0.13, ProbDensSum = 1.0000, Center = (-0.1157, 2.7117)
Step 129, Time = 0.13, ProbDensSum = 1.0000, Center = (-0.1332, 2.7102)
Step 130, Time = 0.13, ProbDensSum = 1.0000, Center = (-0.1507, 2.7087)
Snapshot saved for time step 130.
Step 131, Time = 0.13, ProbDensSum = 1.0000, Center = (-0.1682, 2.7070)
Step 132, Time = 0.13, ProbDensSum = 1.0000, Center = (-0.1856, 2.7052)
Step 133, Time = 0.13, ProbDensSum = 1.0000, Center = (-0.2030, 2.7033)
Step 134, Time = 0.13, ProbDensSum = 1.0000, Center = (-0.2204, 2.7013)
Step 135, Time = 0.14, ProbDensSum = 1.0000, Center = (-0.2378, 2.6992)
Step 136, Time = 0.14, ProbDensSum = 1.0000, Center = (-0.2552, 2.6970)
Step 137, Time = 0.14, ProbDensSum = 1.0000, Center = (-0.2725, 2.6946)
Step 138, Time = 0.14, ProbDensSum = 1.0000, Center = (-0.2898, 2.6922)
Step 139, Time = 0.14, ProbDensSum = 1.0000, Center = (-0.3071, 2.6896)
Step 140, Time = 0.14, ProbDensSum = 1.0000, Center = (-0.3244, 2.6870)
Snapshot saved for time step 140.
Step 141, Time = 0.14, ProbDensSum = 1.0000, Center = (-0.3416, 2.6842)
Step 142, Time = 0.14, ProbDensSum = 1.0000, Center = (-0.3588, 2.6813)
Step 143, Time = 0.14, ProbDensSum = 1.0000, Center = (-0.3760, 2.6784)
Step 144, Time = 0.14, ProbDensSum = 1.0000, Center = (-0.3932, 2.6753)
Step 145, Time = 0.15, ProbDensSum = 1.0000, Center = (-0.4103, 2.6721)
Step 146, Time = 0.15, ProbDensSum = 1.0000, Center = (-0.4274, 2.6688)
Step 147, Time = 0.15, ProbDensSum = 1.0000, Center = (-0.4445, 2.6654)
Step 148, Time = 0.15, ProbDensSum = 1.0000, Center = (-0.4616, 2.6619)
Step 149, Time = 0.15, ProbDensSum = 1.0000, Center = (-0.4786, 2.6583)
Step 150, Time = 0.15, ProbDensSum = 1.0000, Center = (-0.4956, 2.6545)
Snapshot saved for time step 150.
Step 151, Time = 0.15, ProbDensSum = 1.0000, Center = (-0.5125, 2.6507)
Step 152, Time = 0.15, ProbDensSum = 1.0000, Center = (-0.5294, 2.6468)
Step 153, Time = 0.15, ProbDensSum = 1.0000, Center = (-0.5463, 2.6427)
Step 154, Time = 0.15, ProbDensSum = 1.0000, Center = (-0.5632, 2.6386)
Step 155, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.5800, 2.6343)
Step 156, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.5968, 2.6300)
Step 157, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.6135, 2.6255)
Step 158, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.6302, 2.6210)
Step 159, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.6469, 2.6163)
Step 160, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.6635, 2.6115)
Snapshot saved for time step 160.
Step 161, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.6801, 2.6066)
Step 162, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.6967, 2.6017)
Step 163, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.7132, 2.5966)
Step 164, Time = 0.16, ProbDensSum = 1.0000, Center = (-0.7296, 2.5914)
Step 165, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.7461, 2.5861)
Step 166, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.7624, 2.5807)
Step 167, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.7788, 2.5753)
Step 168, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.7951, 2.5697)
Step 169, Time = 0.17, ProbDensSum = 1.0000, Center = (-0.8113, 2.5640)
