Simulation started at 0 with time steps from 0 to 10.
Initial probability density range: vmin=4.810183784379681e-86, vmax=0.6355882989985056.
Step 1, Time = 0.00, ProbDensSum = 1.0000, Center = (1.9869, 2.0120)
Step 2, Time = 0.00, ProbDensSum = 1.0000, Center = (1.9737, 2.0240)
Step 3, Time = 0.00, ProbDensSum = 1.0000, Center = (1.9605, 2.0358)
Step 4, Time = 0.00, ProbDensSum = 1.0000, Center = (1.9472, 2.0476)
Step 5, Time = 0.01, ProbDensSum = 1.0000, Center = (1.9338, 2.0593)
Step 6, Time = 0.01, ProbDensSum = 1.0000, Center = (1.9203, 2.0709)
Step 7, Time = 0.01, ProbDensSum = 1.0000, Center = (1.9068, 2.0824)
Step 8, Time = 0.01, ProbDensSum = 1.0000, Center = (1.8932, 2.0938)
Step 9, Time = 0.01, ProbDensSum = 1.0000, Center = (1.8795, 2.1051)
Step 10, Time = 0.01, ProbDensSum = 1.0000, Center = (1.8658, 2.1163)
Snapshot saved for time step 10.
Step 11, Time = 0.01, ProbDensSum = 1.0000, Center = (1.8520, 2.1275)
Step 12, Time = 0.01, ProbDensSum = 1.0000, Center = (1.8381, 2.1385)
Step 13, Time = 0.01, ProbDensSum = 1.0000, Center = (1.8242, 2.1495)
Step 14, Time = 0.01, ProbDensSum = 1.0000, Center = (1.8102, 2.1604)
Step 15, Time = 0.02, ProbDensSum = 1.0000, Center = (1.7962, 2.1712)
Step 16, Time = 0.02, ProbDensSum = 1.0000, Center = (1.7821, 2.1819)
Step 17, Time = 0.02, ProbDensSum = 1.0000, Center = (1.7679, 2.1925)
Step 18, Time = 0.02, ProbDensSum = 1.0000, Center = (1.7536, 2.2030)
Step 19, Time = 0.02, ProbDensSum = 1.0000, Center = (1.7393, 2.2134)
Step 20, Time = 0.02, ProbDensSum = 1.0000, Center = (1.7249, 2.2238)
Snapshot saved for time step 20.
Step 21, Time = 0.02, ProbDensSum = 1.0000, Center = (1.7105, 2.2340)
Step 22, Time = 0.02, ProbDensSum = 1.0000, Center = (1.6960, 2.2441)
Step 23, Time = 0.02, ProbDensSum = 1.0000, Center = (1.6815, 2.2542)
Step 24, Time = 0.02, ProbDensSum = 1.0000, Center = (1.6669, 2.2641)
Step 25, Time = 0.03, ProbDensSum = 1.0000, Center = (1.6522, 2.2740)
Step 26, Time = 0.03, ProbDensSum = 1.0000, Center = (1.6375, 2.2838)
Step 27, Time = 0.03, ProbDensSum = 1.0000, Center = (1.6227, 2.2934)
Step 28, Time = 0.03, ProbDensSum = 1.0000, Center = (1.6079, 2.3030)
Step 29, Time = 0.03, ProbDensSum = 1.0000, Center = (1.5930, 2.3125)
Step 30, Time = 0.03, ProbDensSum = 1.0000, Center = (1.5780, 2.3219)
Snapshot saved for time step 30.
Step 31, Time = 0.03, ProbDensSum = 1.0000, Center = (1.5630, 2.3311)
Step 32, Time = 0.03, ProbDensSum = 1.0000, Center = (1.5480, 2.3403)
Step 33, Time = 0.03, ProbDensSum = 1.0000, Center = (1.5329, 2.3494)
Step 34, Time = 0.03, ProbDensSum = 1.0000, Center = (1.5177, 2.3584)
Step 35, Time = 0.04, ProbDensSum = 1.0000, Center = (1.5025, 2.3673)
Step 36, Time = 0.04, ProbDensSum = 1.0000, Center = (1.4872, 2.3761)
Step 37, Time = 0.04, ProbDensSum = 1.0000, Center = (1.4719, 2.3848)
Step 38, Time = 0.04, ProbDensSum = 1.0000, Center = (1.4566, 2.3934)
Step 39, Time = 0.04, ProbDensSum = 1.0000, Center = (1.4411, 2.4019)
